gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,score,sum_click
M,East Anglian Region,A Level or Equivalent,10-20%,35-55,0,60,N,Pass,64.33333333333333,2235.0
M,West Midlands Region,HE Qualification,40-50%,35-55,0,30,N,Fail,36.0,399.0
F,Scotland,A Level or Equivalent,30-40%,0-35,0,120,N,Fail,43.916666666666664,710.0
M,Scotland,A Level or Equivalent,20-30%,0-35,0,90,Y,Pass,53.40909090909091,3948.0
F,South Region,HE Qualification,80-90%,0-35,0,30,N,Distinction,100.0,3160.0
M,North Western Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,76.1,2734.0
M,London Region,A Level or Equivalent,40-50%,35-55,0,30,Y,Pass,45.888888888888886,1293.0
M,East Midlands Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,77.5,993.0
F,East Anglian Region,HE Qualification,90-100%,0-35,0,60,N,Pass,61.5625,691.0
M,Scotland,HE Qualification,90-100%,35-55,0,60,Y,Distinction,97.2,4774.0
F,South East Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,63.888888888888886,3250.0
M,East Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,0.0,35.0
M,Scotland,Post Graduate Qualification,60-70%,35-55,0,150,N,Distinction,89.9375,2222.0
F,South West Region,HE Qualification,20-30%,35-55,0,90,N,Fail,0.0,
F,South Region,HE Qualification,40-50%,0-35,0,60,N,Distinction,92.77777777777777,2360.0
M,Scotland,A Level or Equivalent,0-10%,0-35,0,30,N,Pass,71.8,765.0
M,South East Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,57.90909090909091,516.0
M,North Region,HE Qualification,0-10%,0-35,0,30,N,Distinction,85.88888888888889,448.0
F,Scotland,HE Qualification,60-70%,35-55,0,30,N,Fail,0.0,
M,North Western Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,61.666666666666664,637.0
M,North Region,Lower Than A Level,0-10%,35-55,0,30,N,Pass,76.33333333333333,4525.0
M,Ireland,Lower Than A Level,0-10%,0-35,0,90,N,Fail,42.8,1305.0
F,South Region,Lower Than A Level,50-60%,35-55,0,90,N,Distinction,95.33333333333333,1851.0
F,South Region,Lower Than A Level,80-90%,0-35,0,30,Y,Distinction,84.6,715.0
M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,150,N,Pass,58.0,4949.0
M,Scotland,Post Graduate Qualification,80-90%,0-35,0,60,N,Distinction,82.66666666666667,1148.0
F,North Western Region,A Level or Equivalent,80-90%,0-35,0,30,N,Pass,79.55555555555556,728.0
M,Scotland,HE Qualification,70-80%,35-55,0,90,N,Pass,62.111111111111114,1729.0
F,Wales,A Level or Equivalent,90-100%,0-35,0,60,N,Fail,0.0,
M,Wales,HE Qualification,60-70%,0-35,0,60,N,Pass,75.0,2666.0
M,London Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,38.75,857.0
M,Scotland,HE Qualification,20-30%,35-55,0,120,N,Pass,80.0,437.0
M,North Western Region,HE Qualification,90-100%,35-55,0,30,N,Fail,28.5,1137.0
M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,150,N,Pass,69.25,3356.0
M,South Region,A Level or Equivalent,90-100%,0-35,0,30,N,Pass,57.666666666666664,2136.0
M,London Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,74.0,1357.0
M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction,90.84615384615384,3549.0
M,North Western Region,HE Qualification,0-10%,35-55,0,40,N,Distinction,89.33333333333333,2039.0
M,South West Region,A Level or Equivalent,90-100%,0-35,0,90,N,Pass,70.1,3234.0
M,London Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,71.38461538461539,3790.0
F,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,30,N,Pass,59.0,1830.0
F,South Region,A Level or Equivalent,60-70%,35-55,0,60,N,Fail,0.0,
M,West Midlands Region,Lower Than A Level,30-40%,0-35,0,90,N,Fail,30.0,128.0
M,South East Region,Lower Than A Level,40-50%,35-55,0,90,N,Fail,0.0,
M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,90,N,Fail,0.0,51.0
M,London Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,0.0,
M,North Region,A Level or Equivalent,80-90%,0-35,0,180,N,Pass,65.0,448.0
F,Scotland,Post Graduate Qualification,80-90%,0-35,0,60,N,Distinction,91.81818181818181,4784.0
M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,48.0,151.0
M,London Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,54.8,720.0
M,East Anglian Region,Lower Than A Level,80-90%,35-55,0,90,N,Pass,70.0,859.0
M,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,64.42857142857143,2352.0
M,West Midlands Region,Lower Than A Level,0-10%,0-35,0,30,N,Distinction,80.94117647058823,4647.0
M,East Midlands Region,Lower Than A Level,40-50%,0-35,0,90,Y,Fail,0.0,
M,Ireland,HE Qualification,0-10%,35-55,0,30,N,Pass,78.6,3318.0
M,South Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,76.91304347826087,5424.0
M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass,64.33333333333333,201.0
M,Wales,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,49.0,444.0
M,South West Region,HE Qualification,30-40%,0-35,0,60,N,Fail,30.0,313.0
M,Scotland,HE Qualification,90-100%,35-55,0,90,N,Pass,58.214285714285715,2047.0
M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,77.6923076923077,4888.0
M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,90,N,Fail,0.0,
M,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,30,N,Fail,0.0,134.0
M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction,87.53846153846153,5498.0
M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,235,N,Pass,49.666666666666664,947.0
M,Scotland,HE Qualification,60-70%,35-55,0,90,N,Pass,64.875,5938.0
F,South West Region,HE Qualification,40-50%,0-35,0,60,N,Fail,0.0,4.0
M,South East Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,73.61538461538461,3868.0
F,Yorkshire Region,HE Qualification,0-10%,35-55,0,90,N,Fail,23.0,239.0
M,North Western Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,0.0,134.0
F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,Distinction,89.2,3722.0
M,Scotland,A Level or Equivalent,90-100%,0-35,0,30,N,Distinction,96.0,1588.0
M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Fail,0.0,83.0
M,East Midlands Region,HE Qualification,80-90%,0-35,0,90,N,Pass,78.14285714285714,5494.0
M,South Region,A Level or Equivalent,50-60%,35-55,0,70,N,Fail,0.0,41.0
M,Scotland,HE Qualification,90-100%,0-35,0,150,N,Pass,77.58333333333333,1288.0
F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,150,N,Pass,69.4,473.0
M,London Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,0.0,
M,East Anglian Region,Lower Than A Level,70-80%,0-35,0,120,N,Pass,64.7,2993.0
M,Yorkshire Region,HE Qualification,20-30%,0-35,0,60,N,Pass,71.55555555555556,4396.0
F,Yorkshire Region,A Level or Equivalent,10-20%,0-35,0,240,Y,Pass,59.0,463.0
M,South West Region,A Level or Equivalent,40-50%,35-55,0,30,N,Distinction,83.44444444444444,1375.0
M,London Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,0.0,
M,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,72.33333333333333,827.0
M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,90,Y,Pass,57.888888888888886,834.0
M,North Western Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,46.0,537.0
F,South West Region,Lower Than A Level,30-40%,0-35,0,90,Y,Pass,72.66666666666667,318.0
M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,60.666666666666664,1614.0
F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Fail,0.0,
M,North Western Region,Lower Than A Level,20-30%,35-55,0,90,N,Pass,70.52631578947368,7655.0
M,Scotland,A Level or Equivalent,30-40%,35-55,0,90,Y,Fail,0.0,
F,London Region,A Level or Equivalent,80-90%,35-55,0,120,N,Pass,74.58333333333333,4782.0
M,South East Region,A Level or Equivalent,40-50%,35-55,0,60,N,Fail,0.0,
M,Wales,A Level or Equivalent,40-50%,0-35,0,60,N,Distinction,96.75,10301.0
F,Yorkshire Region,HE Qualification,30-40%,0-35,0,120,N,Pass,54.90909090909091,635.0
M,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,150,N,Pass,49.0,469.0
M,Ireland,HE Qualification,80-90%,0-35,0,30,N,Pass,72.0,569.0
M,Wales,Post Graduate Qualification,80-90%,35-55,0,30,N,Distinction,93.33333333333333,1969.0
M,North Western Region,No Formal quals,20-30%,0-35,0,30,N,Pass,60.473684210526315,9642.0
M,London Region,Lower Than A Level,40-50%,35-55,0,60,N,Distinction,92.71428571428571,898.0
M,Ireland,HE Qualification,80-90%,35-55,0,30,N,Distinction,97.88888888888889,3365.0
M,London Region,A Level or Equivalent,10-20%,35-55,0,60,N,Pass,77.54545454545455,12938.0
M,Yorkshire Region,HE Qualification,30-40%,0-35,0,160,N,Distinction,80.34782608695652,2542.0
M,Yorkshire Region,HE Qualification,10-20%,35-55,0,150,N,Pass,59.625,894.0
M,South East Region,A Level or Equivalent,60-70%,0-35,0,60,Y,Distinction,81.66666666666667,476.0
M,London Region,Lower Than A Level,10-20%,0-35,0,60,N,Distinction,84.8,2842.0
F,Wales,HE Qualification,10-20%,0-35,0,30,N,Fail,40.666666666666664,3609.0
M,London Region,HE Qualification,20-30%,0-35,0,60,N,Fail,0.0,
M,East Midlands Region,A Level or Equivalent,10-20%,0-35,0,60,Y,Fail,24.4,659.0
M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,30,N,Distinction,85.22222222222223,1225.0
F,South Region,HE Qualification,80-90%,35-55,0,30,N,Distinction,89.21739130434783,17503.0
M,South Region,A Level or Equivalent,40-50%,0-35,0,180,Y,Pass,47.75,293.0
M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,Y,Fail,32.0,293.0
M,North Western Region,HE Qualification,0-10%,0-35,0,120,N,Pass,58.0,1077.0
M,South West Region,HE Qualification,60-70%,0-35,0,30,N,Pass,63.44444444444444,3094.0
M,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Distinction,91.75,2367.0
M,Scotland,HE Qualification,50-60%,0-35,0,120,Y,Pass,77.8125,1964.0
M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Fail,0.0,
M,Scotland,A Level or Equivalent,80-90%,0-35,0,90,N,Pass,67.0,2700.0
M,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,52.0,273.0
F,London Region,HE Qualification,20-30%,35-55,0,135,N,Pass,56.5,267.0
M,South Region,HE Qualification,70-80%,0-35,0,120,N,Pass,67.66666666666667,1199.0
F,Scotland,Post Graduate Qualification,90-100%,35-55,0,60,N,Fail,0.0,
M,Ireland,Lower Than A Level,50-60%,0-35,0,60,N,Pass,62.5,280.0
M,South West Region,HE Qualification,80-90%,0-35,0,30,N,Distinction,87.11111111111111,2432.0
F,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,Fail,0.0,10.0
F,South Region,A Level or Equivalent,30-40%,0-35,0,120,Y,Fail,0.0,169.0
M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,7.0,261.0
M,North Region,HE Qualification,30-40%,0-35,0,30,N,Distinction,80.44444444444444,1527.0
M,North Western Region,Lower Than A Level,0-10%,0-35,0,180,Y,Pass,76.0,220.0
M,West Midlands Region,HE Qualification,50-60%,35-55,0,30,N,Distinction,98.8,6049.0
M,North Western Region,A Level or Equivalent,40-50%,0-35,0,90,N,Fail,0.0,95.0
M,London Region,A Level or Equivalent,10-20%,35-55,0,180,N,Pass,57.666666666666664,9175.0
F,Yorkshire Region,Lower Than A Level,80-90%,0-35,0,30,N,Distinction,84.0,695.0
M,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,0.0,
M,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,52.7,1871.0
F,South West Region,A Level or Equivalent,20-30%,0-35,0,150,N,Pass,54.27272727272727,2026.0
M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,30,N,Pass,46.0,197.0
M,North Region,Lower Than A Level,0-10%,35-55,0,60,N,Pass,77.53846153846153,12837.0
M,North Region,A Level or Equivalent,0-10%,0-35,0,150,N,Pass,51.25,568.0
M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,30,N,Fail,0.0,48.0
M,West Midlands Region,HE Qualification,20-30%,0-35,0,60,N,Distinction,81.66666666666667,558.0
F,South East Region,Lower Than A Level,90-100%,0-35,0,150,N,Pass,50.0,108.0
M,North Western Region,A Level or Equivalent,20-30%,35-55,0,60,N,Distinction,87.33333333333333,1719.0
F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,135,N,Pass,73.0,1378.0
M,Scotland,A Level or Equivalent,80-90%,0-35,0,210,N,Pass,59.44444444444444,342.0
M,Yorkshire Region,Lower Than A Level,10-20%,35-55,0,30,N,Fail,27.75,9884.0
M,Wales,HE Qualification,40-50%,35-55,0,150,N,Pass,63.5,2022.0
M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Fail,0.0,
M,North Region,HE Qualification,0-10%,35-55,0,90,N,Fail,0.0,68.0
M,Scotland,Lower Than A Level,80-90%,0-35,0,60,N,Pass,58.0,1511.0
M,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,68.0,1737.0
M,North Region,Lower Than A Level,30-40%,0-35,0,90,N,Fail,42.0,1544.0
F,Wales,A Level or Equivalent,50-60%,0-35,0,30,N,Pass,50.0,169.0
M,Scotland,HE Qualification,70-80%,0-35,0,30,N,Distinction,81.33333333333333,5296.0
M,North Western Region,Lower Than A Level,90-100%,0-35,0,120,N,Fail,0.0,
M,Scotland,A Level or Equivalent,10-20%,35-55,0,120,N,Distinction,89.5,1675.0
M,South East Region,Lower Than A Level,0-10%,0-35,0,90,N,Fail,40.0,85.0
M,London Region,A Level or Equivalent,40-50%,0-35,0,90,N,Pass,74.91666666666667,992.0
F,London Region,HE Qualification,0-10%,0-35,0,30,N,Distinction,87.42857142857143,4993.0
M,South West Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,40.0,255.0
F,North Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,77.4,2118.0
M,Scotland,A Level or Equivalent,50-60%,0-35,0,90,N,Distinction,91.28571428571429,959.0
F,Scotland,HE Qualification,40-50%,35-55,0,90,N,Pass,68.8695652173913,11468.0
M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,90,N,Fail,0.0,
M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,30,N,Fail,0.0,219.0
M,North Western Region,HE Qualification,30-40%,35-55,0,60,N,Pass,49.125,1927.0
M,London Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,49.25,1221.0
F,Wales,Lower Than A Level,20-30%,35-55,0,120,N,Pass,71.71428571428571,730.0
M,North Western Region,A Level or Equivalent,70-80%,35-55,0,30,N,Pass,59.57142857142857,3185.0
M,Scotland,A Level or Equivalent,10-20%,0-35,0,90,N,Fail,30.0,149.0
M,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,78.1,4988.0
M,South West Region,HE Qualification,50-60%,35-55,0,90,N,Pass,80.0,4648.0
F,South West Region,Lower Than A Level,10-20%,0-35,0,60,Y,Fail,0.0,6.0
M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Fail,0.0,
M,East Anglian Region,Lower Than A Level,50-60%,0-35,0,90,Y,Distinction,84.125,2613.0
F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,70,N,Pass,64.5,1522.0
F,South West Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,67.58333333333333,1648.0
F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,60,Y,Pass,78.33333333333333,913.0
F,South East Region,A Level or Equivalent,60-70%,0-35,0,90,Y,Pass,79.0,809.0
M,South Region,A Level or Equivalent,70-80%,0-35,0,30,N,Fail,0.0,39.0
F,London Region,A Level or Equivalent,60-70%,0-35,0,145,N,Pass,64.75,1201.0
F,South Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,75.33333333333333,1039.0
M,North Western Region,A Level or Equivalent,30-40%,0-35,0,90,N,Pass,78.91666666666667,2211.0
M,Wales,Lower Than A Level,40-50%,35-55,0,30,N,Fail,40.0,247.0
F,South East Region,A Level or Equivalent,70-80%,35-55,0,90,N,Pass,79.77777777777777,2699.0
M,North Western Region,HE Qualification,0-10%,35-55,0,30,N,Pass,62.55555555555556,1085.0
M,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,61.30769230769231,2350.0
M,Scotland,HE Qualification,50-60%,0-35,0,60,N,Fail,0.0,6.0
M,South West Region,A Level or Equivalent,80-90%,0-35,0,90,N,Pass,63.0,162.0
M,North Region,Lower Than A Level,20-30%,0-35,0,30,N,Pass,59.5,2574.0
F,South Region,HE Qualification,20-30%,0-35,0,135,N,Pass,64.8,2188.0
F,South East Region,Lower Than A Level,20-30%,0-35,0,120,N,Fail,0.0,
M,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,0.0,
M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,66.0,455.0
M,East Midlands Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,59.0,554.0
M,Scotland,HE Qualification,70-80%,35-55,0,60,N,Pass,71.78571428571429,8551.0
M,East Midlands Region,Lower Than A Level,30-40%,0-35,0,150,N,Pass,80.0,194.0
M,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,Y,Fail,0.0,54.0
M,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,58.75,608.0
F,London Region,HE Qualification,30-40%,0-35,0,30,N,Pass,65.875,403.0
M,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,77.0,357.0
M,London Region,Lower Than A Level,40-50%,0-35,0,30,N,Distinction,94.66666666666667,3676.0
F,Yorkshire Region,A Level or Equivalent,60-70%,35-55,0,90,N,Fail,0.0,2.0
M,South West Region,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction,93.83333333333333,1206.0
M,North Western Region,A Level or Equivalent,60-70%,35-55,0,90,N,Fail,0.0,133.0
M,South West Region,A Level or Equivalent,20-30%,0-35,0,90,N,Fail,10.0,280.0
M,West Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Distinction,82.53846153846153,5460.0
F,London Region,A Level or Equivalent,40-50%,0-35,0,90,N,Distinction,86.45454545454545,3185.0
M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,30,N,Pass,64.5,360.0
F,North Western Region,A Level or Equivalent,40-50%,0-35,0,30,N,Distinction,95.11111111111111,899.0
F,Scotland,HE Qualification,40-50%,35-55,0,150,Y,Fail,0.0,
M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,30,N,Pass,66.0,562.0
M,Scotland,HE Qualification,90-100%,0-35,0,30,N,Pass,52.55555555555556,1491.0
M,North Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,0.0,60.0
M,North Region,Post Graduate Qualification,0-10%,55<=,0,60,N,Distinction,88.9090909090909,5053.0
F,Scotland,Lower Than A Level,0-10%,35-55,0,90,N,Pass,50.0,2409.0
F,South Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,35.857142857142854,770.0
M,South West Region,Lower Than A Level,0-10%,35-55,0,90,N,Fail,29.333333333333332,722.0
F,North Region,HE Qualification,0-10%,0-35,0,90,N,Distinction,98.77777777777777,6059.0
M,London Region,A Level or Equivalent,60-70%,0-35,0,90,N,Pass,57.0,358.0
M,London Region,Lower Than A Level,0-10%,0-35,0,90,N,Pass,76.0,615.0
M,East Anglian Region,Lower Than A Level,90-100%,0-35,0,120,N,Fail,33.0,110.0
M,North Western Region,Lower Than A Level,30-40%,0-35,0,150,N,Pass,78.6,2261.0
F,Wales,A Level or Equivalent,10-20%,0-35,0,60,N,Pass,50.0,1577.0
M,East Anglian Region,HE Qualification,70-80%,0-35,0,30,N,Distinction,86.6,3863.0
M,London Region,HE Qualification,60-70%,0-35,0,30,N,Distinction,86.8,558.0
F,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,210,Y,Fail,38.0,276.0
M,North Region,Lower Than A Level,0-10%,0-35,0,150,N,Fail,0.0,
M,South Region,Lower Than A Level,50-60%,35-55,0,60,Y,Pass,76.23076923076923,1111.0
M,West Midlands Region,Lower Than A Level,20-30%,0-35,0,150,N,Pass,59.666666666666664,767.0
M,South East Region,A Level or Equivalent,10-20%,35-55,0,30,N,Fail,38.0,2275.0
M,South East Region,A Level or Equivalent,50-60%,0-35,0,30,N,Fail,0.0,
F,East Anglian Region,A Level or Equivalent,30-40%,35-55,0,30,N,Pass,67.4,1270.0
M,London Region,Lower Than A Level,80-90%,0-35,0,30,N,Pass,79.875,1503.0
M,South East Region,A Level or Equivalent,10-20%,35-55,0,90,N,Pass,80.0,228.0
F,North Western Region,Lower Than A Level,40-50%,0-35,0,90,Y,Pass,62.333333333333336,1114.0
M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,150,Y,Fail,0.0,175.0
M,Ireland,A Level or Equivalent,50-60%,0-35,0,80,N,Distinction,90.875,951.0
M,South Region,Lower Than A Level,10-20%,0-35,0,90,N,Pass,46.75,1045.0
F,South Region,Lower Than A Level,90-100%,0-35,0,120,N,Distinction,85.85714285714286,9070.0
M,South Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,57.0,321.0
M,South East Region,A Level or Equivalent,50-60%,0-35,0,30,N,Pass,48.44444444444444,1802.0
M,London Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,78.5,2136.0
M,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,270,N,Fail,0.0,69.0
M,Wales,Lower Than A Level,30-40%,0-35,0,90,N,Fail,0.0,3.0
F,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,75.92307692307692,3251.0
M,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,77.88888888888889,917.0
M,East Midlands Region,Lower Than A Level,90-100%,35-55,0,60,N,Distinction,88.9090909090909,4739.0
M,Scotland,A Level or Equivalent,40-50%,0-35,0,60,Y,Fail,0.0,84.0
F,East Midlands Region,A Level or Equivalent,60-70%,0-35,0,90,N,Distinction,85.0,3422.0
M,Scotland,Lower Than A Level,40-50%,0-35,0,30,Y,Distinction,100.0,223.0
F,North Region,A Level or Equivalent,0-10%,0-35,0,30,N,Fail,0.0,74.0
M,South West Region,Lower Than A Level,40-50%,0-35,0,30,N,Fail,39.0,188.0
M,Yorkshire Region,Lower Than A Level,30-40%,0-35,0,90,N,Pass,58.0,802.0
F,South Region,Lower Than A Level,90-100%,35-55,0,60,N,Fail,40.0,287.0
M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,75.0,7289.0
M,South Region,HE Qualification,20-30%,35-55,0,30,N,Pass,68.53846153846153,5470.0
M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,30,N,Fail,0.0,100.0
M,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,62.666666666666664,839.0
M,North Western Region,HE Qualification,30-40%,0-35,0,30,N,Pass,50.0,288.0
F,South Region,HE Qualification,70-80%,35-55,0,30,N,Pass,78.25,1749.0
M,South Region,HE Qualification,90-100%,35-55,0,30,N,Distinction,92.17647058823529,12036.0
M,Yorkshire Region,HE Qualification,80-90%,0-35,0,30,N,Pass,77.44444444444444,550.0
F,Scotland,A Level or Equivalent,90-100%,0-35,0,90,N,Distinction,80.6875,4381.0
F,South East Region,A Level or Equivalent,70-80%,0-35,0,40,N,Distinction,97.33333333333333,2261.0
M,South Region,Lower Than A Level,30-40%,35-55,0,30,N,Fail,30.0,787.0
M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,150,Y,Distinction,85.5,851.0
M,Yorkshire Region,HE Qualification,0-10%,35-55,0,60,N,Fail,26.333333333333332,1065.0
M,South East Region,A Level or Equivalent,90-100%,0-35,0,90,N,Fail,44.0,996.0
F,Scotland,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,66.6,1137.0
F,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,31.6,1267.0
M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,66.85714285714286,384.0
F,Ireland,HE Qualification,0-10%,35-55,0,60,N,Pass,70.2,1860.0
M,South West Region,A Level or Equivalent,30-40%,0-35,0,90,Y,Pass,70.5,2529.0
M,East Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,72.5,731.0
F,Wales,HE Qualification,80-90%,0-35,0,120,N,Pass,71.0,129.0
M,West Midlands Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,60.0,174.0
M,East Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,66.85714285714286,649.0
M,South Region,HE Qualification,50-60%,35-55,0,60,N,Fail,0.0,
M,Ireland,A Level or Equivalent,70-80%,35-55,0,90,N,Distinction,92.11111111111111,2229.0
M,South West Region,HE Qualification,40-50%,35-55,0,30,N,Distinction,100.0,8504.0
F,London Region,HE Qualification,20-30%,0-35,0,60,Y,Pass,79.625,2055.0
M,North Western Region,A Level or Equivalent,0-10%,0-35,0,90,N,Pass,79.66666666666667,293.0
M,South Region,A Level or Equivalent,40-50%,35-55,0,30,N,Distinction,91.6,4641.0
M,Scotland,HE Qualification,70-80%,0-35,0,30,N,Pass,72.88888888888889,1272.0
F,Ireland,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,67.2,787.0
M,West Midlands Region,Lower Than A Level,80-90%,0-35,0,45,N,Distinction,83.11111111111111,428.0
M,London Region,Post Graduate Qualification,30-40%,35-55,0,90,N,Pass,51.92307692307692,1123.0
M,South Region,Lower Than A Level,10-20%,0-35,0,60,N,Pass,66.0,460.0
F,Scotland,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass,72.33333333333333,3132.0
F,Scotland,HE Qualification,90-100%,0-35,0,60,Y,Pass,62.0,3004.0
M,Scotland,Lower Than A Level,70-80%,35-55,0,30,N,Pass,61.666666666666664,834.0
F,North Region,A Level or Equivalent,0-10%,0-35,0,90,N,Distinction,96.55555555555556,2452.0
F,Yorkshire Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,0.0,
M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,90,N,Pass,53.666666666666664,1198.0
M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,90,N,Pass,56.0,2493.0
M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,74.125,232.0
M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,90,N,Pass,64.5,542.0
F,East Anglian Region,A Level or Equivalent,80-90%,35-55,0,90,N,Fail,10.0,146.0
M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Distinction,82.53846153846153,4600.0
M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,0.0,6.0
M,South Region,Lower Than A Level,40-50%,0-35,0,90,N,Pass,50.0,460.0
M,North Western Region,A Level or Equivalent,10-20%,0-35,0,30,N,Pass,60.857142857142854,849.0
